((0, 2), 'c3', (0, 0), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (1, 5), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (4, 6), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (2, 1), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (2, 5), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (3, 1), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (0, 3), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (2, 6), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (1, 1), 'r5', (5, 6), 'c6')
((0, 4), 'r5', (0, 1), 'c3', (5, 6), 'c6')
((0, 4), 'r5', (0, 3), 'c3', (5, 6), 'c6')
((0, 3), 'c3', (1, 4), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (0, 0), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (1, 1), 'r5', (5, 6), 'c6')
((0, 1), 'r5', (0, 0), 'c3', (5, 6), 'c6')
((0, 3), 'c3', (0, 2), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (1, 5), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (1, 2), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (4, 6), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (2, 1), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (2, 6), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (1, 5), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (1, 2), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (3, 6), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (0, 2), 'r5', (5, 6), 'c6')
((0, 4), 'r5', (0, 2), 'c3', (5, 6), 'c6')
((0, 1), 'c3', (0, 3), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (2, 5), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (0, 1), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (0, 3), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (2, 1), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (4, 6), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (3, 6), 'r5', (5, 6), 'c6')
((0, 3), 'r5', (0, 2), 'c3', (5, 6), 'c6')
((0, 3), 'c3', (0, 0), 'r5', (5, 6), 'c6')
((0, 3), 'r5', (0, 0), 'c3', (5, 6), 'c6')
((0, 4), 'r5', (0, 0), 'c3', (5, 6), 'c6')
((0, 1), 'c3', (3, 6), 'r5', (5, 6), 'c6')
((0, 1), 'r5', (0, 2), 'c3', (5, 6), 'c6')
((0, 1), 'r5', (0, 3), 'c3', (5, 6), 'c6')
((0, 2), 'c3', (2, 5), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (1, 4), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (1, 1), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (3, 1), 'r5', (5, 6), 'c6')
((0, 3), 'c3', (3, 1), 'r5', (5, 6), 'c6')
((0, 2), 'r5', (0, 0), 'c3', (5, 6), 'c6')
((0, 3), 'c3', (1, 2), 'r5', (5, 6), 'c6')
((0, 2), 'c3', (2, 6), 'r5', (5, 6), 'c6')
((0, 1), 'c3', (1, 4), 'r5', (5, 6), 'c6')
[(0, 2), 'C3', (0, 0), 'R5', (5, 6), 'C6']
